"","UserID","AGE","FOAvgStake","LAAvgStake","FOAvgTotalWinnings","LAAvgTotalWinnings","FOTotalActiveDays","LATotalActiveDays","Gender","Recency_bet_sportsFO","Recency_bet_sportsLA","Continent"
"33982",1389606,23,0,10,0,8.654545,0,1,"Female",0,218,"Europe"
"33983",1389607,38,10.805,12.63997,10.67782,11.43612,188,180,"Male",31,33,"Europe"
"33984",1389608,30,23.98886,0,19.44341,0,15,0,"Male",204,0,"Europe"
"33985",1389609,22,2.14,0,1.638,0,114,0,"Male",105,0,"Europe"
"33986",1389611,57,0.8570471,0,0.7511647,0,214,0,"Male",1,0,"Europe"
"33987",1389612,35,0.7328704,0,0.5476852,0,51,0,"Male",164,0,"Europe"
"33988",1389614,46,1.378467,2.988172,0.8630892,2.443075,171,143,"Male",42,42,"Europe"
"33989",1389615,21,3.27,3.1,1.162,0,197,1,"Male",2,195,"Europe"
"33990",1389617,71,16.26,7.722222,7.117143,5.944444,15,13,"Female",202,206,"Europe"
"33991",1389618,24,1.142507,1.166667,0.05625337,0,93,76,"Male",126,143,"Europe"
"33992",1389619,23,100,0,0,0,0,0,"Male",219,0,"Asia"
"33993",1389620,30,7.428571,2,12.74286,0,101,0,"Male",118,119,"Europe"
"33994",1389621,21,2.869167,1.6676,0.8216667,1.4824,61,28,"Male",154,181,"Europe"
"33995",1389622,33,3.657143,0,3.751857,0,58,0,"Male",147,0,"Europe"
"33996",1389623,34,10,0,0,0,0,0,"Male",219,0,"Europe"
