"","UserID","Gender","Poker_Sell","Poker_Buy","Profit_Poker","Recency_Poker","Continent"
"1681",1388361,"Male",50447.51,38632.52,11814.99,0,"Europe"
"1682",1388672,"Male",2797.74,1908.27,889.47,0,"Europe"
"1683",1388766,"Male",15915.58,15134.56,781.02,0,"Europe"
"1684",1388810,"Male",6046.45,4327.76,1718.69,175,"Europe"
"1685",1388951,"Male",10.58,1.28,9.3,209,"Europe"
"1686",1389009,"Female",60,45.39,14.61,219,"Europe"
"1687",1389029,"Male",771.22,744.01,27.21,111,"Europe"
"1688",1389126,"Male",1106.12,856.79,249.33,0,"Europe"
"1689",1389141,"Male",6.72,6.72,0,219,"Europe"
"1690",1389178,"Male",5.02,6.25,-1.23,1,"Europe"
"1691",1389218,"Male",262.77,58.63,204.14,82,"Europe"
"1692",1389219,"Male",115.04,44.49,70.55,144,"Europe"
"1693",1389233,"Male",5,2.05,2.95,196,"Europe"
"1694",1389266,"Male",77.12,38.19,38.93,218,"Europe"
"1695",1389282,"Male",665.23,445.03,220.2,6,"Europe"
"1696",1389317,"Male",2059.33,2106.03,-46.7000000000003,12,"Europe"
"1697",1389377,"Male",260.94,212.11,48.83,5,"Europe"
"1698",1389448,"Male",4956.54,3826.9,1129.64,44,"Europe"
"1699",1389504,"Male",31.86,6.6,25.26,198,"Asia"
"1700",1389520,"Female",1.33,1.33,0,217,"Asia"
"1701",1389569,"Male",471.33,212.44,258.89,145,"Europe"
"1702",1389619,"Male",1810,1251.63,558.37,210,"Asia"
"1703",1389669,"Male",123.61,86.08,37.53,15,"Europe"
"1704",1389670,"Male",108.33,49.32,59.01,217,"Asia"
"1705",1389687,"Male",16.5,16.5,0,116,"Europe"
"1706",1389749,"Male",16.36,0.93,15.43,97,"Europe"
"1707",1389750,"Male",3563.53,3272.51,291.02,42,"Europe"
"1708",1389805,"Male",300,314.09,-14.09,50,"Europe"
"1709",1389882,"Male",77.55,0,77.55,214,"Asia"
"1710",1389913,"Male",50.4,20.17,30.23,219,"Europe"
"1711",1389937,"Female",368.91,300.19,68.72,200,"Asia"
"1712",1389946,"Male",1328.62,1242.76,85.8599999999999,0,"Europe"
"1713",1389988,"Male",323.91,55.61,268.3,174,"Europe"
"1714",1390129,"Male",218.43,84.49,133.94,26,"Asia"
"1715",1390130,"Male",23,3.34,19.66,89,"Europe"
"1716",1390216,"Male",4435.13,4394.68,40.4499999999998,0,"Europe"
"1717",1390315,"Male",615.61,480.8,134.81,139,"Europe"
"1718",1390371,"Male",1447.67,1106.08,341.59,93,"Europe"
"1719",1390561,"Male",0.94,0.05,0.89,170,"Asia"
"1720",1390581,"Male",3240.91,2487.5,753.41,4,"Europe"
"1721",1390617,"Male",320.73,365.82,-45.09,193,"Asia"
"1722",1390633,"Male",280.46,190.79,89.67,5,"Europe"
"1723",1390642,"Male",439.92,178.49,261.43,52,"Europe"
"1724",1390723,"Male",1788,2150.61,-362.61,16,"Europe"
"1725",1390743,"Female",5,4.04,0.96,157,"Europe"
"1726",1390833,"Male",1554.68,1253.85,300.83,61,"Europe"
"1727",1390900,"Male",1075.08,1055.43,19.6499999999999,123,"Europe"
"1728",1391054,"Male",9205.65,7947.98,1257.67,0,"Europe"
"1729",1391098,"Male",18,0,0,0,"Europe"
"1730",1391203,"Male",77.44,62.33,15.11,120,"Europe"
"1731",1391228,"Male",819.29,770.29,49,192,"Europe"
"1732",1391268,"Male",5961.7,4129.3,1832.4,10,"Europe"
